Epoch;dim;lr;wordNgrams;precision;recall
1000;300;0.0001;1;0.5040322580645161;0.5040322580645161
1000;300;0.0001;2;0.4838709677419355;0.4838709677419355
1000;300;0.0001;3;0.47580645161290325;0.47580645161290325
1000;300;0.001;1;0.4959677419354839;0.4959677419354839
1000;300;0.001;2;0.5;0.5
1000;300;0.001;3;0.4879032258064516;0.4879032258064516
1000;300;0.01;1;0.4838709677419355;0.4838709677419355
1000;300;0.01;2;0.5;0.5
1000;300;0.01;3;0.4959677419354839;0.4959677419354839
1000;300;0.1;1;0.47580645161290325;0.47580645161290325
1000;300;0.1;2;0.47580645161290325;0.47580645161290325
1000;300;0.1;3;0.4798387096774194;0.4798387096774194

